No existing adaptor_config.json found, using command line arguments.
Using adaptor arguments from command line.
Injecting Panorama Sparse Attention.
adaptor_config: {'adaptor_name': 'panorama_sparse_attention', 'bottle_dim': 128, 'sparse_k': 512, 'index_heads': 4, 'index_dim': 16}
Monkey-patching Qwen2_5_VLVisionBlock with panorama_sparse_attention.
Monkey-patching Qwen2_5_VisionTransformerPretrainedModel to use Pano forward.
load Qwen2_5_VisionTransformerPretrainedModel_Pano
train model visual:  False
train model visual merger:  True
train llm:  True
Unfreezing the panoramic adapter modules.

--- Whole Model Parameter Status (ZeRO-3) ---
Total Parameters:      3796.76 M
Trainable Parameters:  3164.78 M
Trainable Percentage:  83.35%
----------------------------

--- Visual Tower Parameter Status (ZeRO-3) ---
Total Parameters:      710.82 M
Trainable Parameters:  78.84 M
Trainable Percentage:  11.09%
----------------------------

--- Vision-Language Merger Parameter Status (ZeRO-3) ---
Total Parameters:      36.71 M
Trainable Parameters:  36.71 M
Trainable Percentage:  100.00%
----------------------------

--- Language Model Parameter Status (ZeRO-3) ---
Total Parameters:      3085.94 M
Trainable Parameters:  3085.94 M
Trainable Percentage:  100.00%
----------------------------

--- Panoramic Adapter Parameter Status (ZeRO-3) ---
Total Parameters:      42.13 M
Trainable Parameters:  42.13 M
Trainable Percentage:  100.00%
----------------------------

model trainable parameters:
Vision Module - Attention Blocks:
Trainable Block Indices: None
Non-Trainable Block Indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
Merger Module Trainable: True
LLM Module - Embed Tokens Trainable: True
LLM Module - Trainable Layer Indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]
LLM Module - Non-Trainable Layer Indices: None
Parameter Offload: Total persistent parameters: 946720 in 728 params
{'loss': 2.2836, 'grad_norm': 13.276479120076841, 'learning_rate': 5.555555555555555e-07, 'epoch': 0.0}
{'loss': 2.1847, 'grad_norm': 13.621385349912018, 'learning_rate': 1.111111111111111e-06, 'epoch': 0.01}
{'loss': 2.1823, 'grad_norm': 12.737952131184402, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.01}
{'loss': 2.1863, 'grad_norm': 14.211797513248706, 'learning_rate': 2.222222222222222e-06, 'epoch': 0.01}
{'loss': 2.0519, 'grad_norm': 12.7256088091014, 'learning_rate': 2.7777777777777783e-06, 'epoch': 0.02}
{'loss': 2.0674, 'grad_norm': 12.345335754700749, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.02}
{'loss': 2.282, 'grad_norm': 13.576286242341567, 'learning_rate': 3.88888888888889e-06, 'epoch': 0.03}
{'loss': 1.9639, 'grad_norm': 11.982137554893706, 'learning_rate': 4.444444444444444e-06, 'epoch': 0.03}
{'loss': 1.8288, 'grad_norm': 11.247161350848891, 'learning_rate': 5e-06, 'epoch': 0.03}
{'loss': 1.8601, 'grad_norm': 9.837641346564544, 'learning_rate': 4.999821641793195e-06, 'epoch': 0.04}
{'loss': 1.7838, 'grad_norm': 8.514617183506628, 'learning_rate': 4.999286592622096e-06, 'epoch': 0.04}
{'loss': 1.6975, 'grad_norm': 9.552584323245027, 'learning_rate': 4.998394928831034e-06, 'epoch': 0.04}
{'loss': 1.7639, 'grad_norm': 7.48697548488242, 'learning_rate': 4.9971467776484526e-06, 'epoch': 0.05}
{'loss': 1.7908, 'grad_norm': 6.467107409492477, 'learning_rate': 4.995542317168756e-06, 'epoch': 0.05}
{'loss': 1.7623, 'grad_norm': 6.697955131959286, 'learning_rate': 4.993581776326901e-06, 'epoch': 0.06}
{'loss': 1.6011, 'grad_norm': 6.844478953103281, 'learning_rate': 4.991265434865726e-06, 'epoch': 0.06}
{'loss': 1.4324, 'grad_norm': 6.908739921200864, 'learning_rate': 4.988593623296038e-06, 'epoch': 0.06}
{'loss': 1.2187, 'grad_norm': 5.876746267477162, 'learning_rate': 4.985566722849454e-06, 'epoch': 0.07}
